Created as New Dataset,Sample 003 By Administrator Date Monday, March 20 2023
cm-1,A
4000.00,0.1226
3999.00,0.1226
3998.00,0.1226
3997.00,0.1226
3996.00,0.1227
3995.00,0.1226
3994.00,0.1226
3993.00,0.1226
3992.00,0.1226
3991.00,0.1227
3990.00,0.1227
3989.00,0.1227
3988.00,0.1227
3987.00,0.1227
3986.00,0.1228
3985.00,0.1228
3984.00,0.1228
3983.00,0.1228
3982.00,0.1229
3981.00,0.1228
3980.00,0.1228
3979.00,0.1228
3978.00,0.1228
3977.00,0.1228
3976.00,0.1228
3975.00,0.1228
3974.00,0.1227
3973.00,0.1227
3972.00,0.1227
3971.00,0.1227
3970.00,0.1228
3969.00,0.1229
3968.00,0.1229
3967.00,0.1229
3966.00,0.1228
3965.00,0.1228
3964.00,0.1229
3963.00,0.1229
3962.00,0.1229
3961.00,0.1228
3960.00,0.1228
3959.00,0.1228
3958.00,0.1228
3957.00,0.1229
3956.00,0.1228
3955.00,0.1228
3954.00,0.1226
3953.00,0.1225
3952.00,0.1224
3951.00,0.1223
3950.00,0.1224
3949.00,0.1224
3948.00,0.1223
3947.00,0.1221
3946.00,0.1220
3945.00,0.1221
3944.00,0.1224
3943.00,0.1226
3942.00,0.1225
3941.00,0.1224
3940.00,0.1225
3939.00,0.1227
3938.00,0.1229
3937.00,0.1228
3936.00,0.1225
3935.00,0.1223
3934.00,0.1222
3933.00,0.1223
3932.00,0.1223
3931.00,0.1222
3930.00,0.1221
3929.00,0.1219
3928.00,0.1219
3927.00,0.1221
3926.00,0.1223
3925.00,0.1224
3924.00,0.1221
3923.00,0.1218
3922.00,0.1216
3921.00,0.1216
3920.00,0.1217
3919.00,0.1219
3918.00,0.1221
3917.00,0.1223
3916.00,0.1225
3915.00,0.1225
3914.00,0.1228
3913.00,0.1231
3912.00,0.1234
3911.00,0.1233
3910.00,0.1229
3909.00,0.1223
3908.00,0.1215
3907.00,0.1207
3906.00,0.1201
3905.00,0.1196
3904.00,0.1192
3903.00,0.1188
3902.00,0.1188
3901.00,0.1195
3900.00,0.1204
3899.00,0.1211
3898.00,0.1213
3897.00,0.1214
3896.00,0.1215
3895.00,0.1216
3894.00,0.1216
3893.00,0.1218
3892.00,0.1220
3891.00,0.1216
3890.00,0.1207
3889.00,0.1200
3888.00,0.1203
3887.00,0.1211
3886.00,0.1217
3885.00,0.1211
3884.00,0.1201
3883.00,0.1199
3882.00,0.1207
3881.00,0.1217
3880.00,0.1219
3879.00,0.1212
3878.00,0.1206
3877.00,0.1208
3876.00,0.1213
3875.00,0.1213
3874.00,0.1205
3873.00,0.1193
3872.00,0.1190
3871.00,0.1196
3870.00,0.1202
3869.00,0.1198
3868.00,0.1190
3867.00,0.1192
3866.00,0.1202
3865.00,0.1210
3864.00,0.1213
3863.00,0.1212
3862.00,0.1212
3861.00,0.1214
3860.00,0.1213
3859.00,0.1207
3858.00,0.1194
3857.00,0.1176
3856.00,0.1161
3855.00,0.1159
3854.00,0.1173
3853.00,0.1181
3852.00,0.1178
3851.00,0.1184
3850.00,0.1204
3849.00,0.1222
3848.00,0.1229
3847.00,0.1227
3846.00,0.1223
3845.00,0.1218
3844.00,0.1211
3843.00,0.1202
3842.00,0.1191
3841.00,0.1184
3840.00,0.1184
3839.00,0.1187
3838.00,0.1190
3837.00,0.1190
3836.00,0.1191
3835.00,0.1196
3834.00,0.1205
3833.00,0.1214
3832.00,0.1219
3831.00,0.1219
3830.00,0.1218
3829.00,0.1219
3828.00,0.1223
3827.00,0.1224
3826.00,0.1216
3825.00,0.1202
3824.00,0.1191
3823.00,0.1191
3822.00,0.1199
3821.00,0.1200
3820.00,0.1188
3819.00,0.1179
3818.00,0.1188
3817.00,0.1207
3816.00,0.1221
3815.00,0.1222
3814.00,0.1220
3813.00,0.1224
3812.00,0.1230
3811.00,0.1228
3810.00,0.1221
3809.00,0.1217
3808.00,0.1219
3807.00,0.1217
3806.00,0.1205
3805.00,0.1192
3804.00,0.1189
3803.00,0.1199
3802.00,0.1210
3801.00,0.1209
3800.00,0.1200
3799.00,0.1200
3798.00,0.1213
3797.00,0.1227
3796.00,0.1233
3795.00,0.1232
3794.00,0.1232
3793.00,0.1236
3792.00,0.1241
3791.00,0.1243
3790.00,0.1242
3789.00,0.1239
3788.00,0.1237
3787.00,0.1236
3786.00,0.1236
3785.00,0.1235
3784.00,0.1231
3783.00,0.1226
3782.00,0.1223
3781.00,0.1226
3780.00,0.1231
3779.00,0.1233
3778.00,0.1232
3777.00,0.1232
3776.00,0.1235
3775.00,0.1236
3774.00,0.1233
3773.00,0.1227
3772.00,0.1224
3771.00,0.1225
3770.00,0.1224
3769.00,0.1220
3768.00,0.1217
3767.00,0.1221
3766.00,0.1228
3765.00,0.1230
3764.00,0.1225
3763.00,0.1220
3762.00,0.1219
3761.00,0.1220
3760.00,0.1221
3759.00,0.1219
3758.00,0.1214
3757.00,0.1208
3756.00,0.1199
3755.00,0.1190
3754.00,0.1180
3753.00,0.1173
3752.00,0.1174
3751.00,0.1178
3750.00,0.1178
3749.00,0.1170
3748.00,0.1163
3747.00,0.1165
3746.00,0.1178
3745.00,0.1195
3744.00,0.1199
3743.00,0.1189
3742.00,0.1188
3741.00,0.1198
3740.00,0.1202
3739.00,0.1195
3738.00,0.1186
3737.00,0.1182
3736.00,0.1182
3735.00,0.1182
3734.00,0.1184
3733.00,0.1191
3732.00,0.1201
3731.00,0.1208
3730.00,0.1212
3729.00,0.1216
3728.00,0.1221
3727.00,0.1224
3726.00,0.1221
3725.00,0.1217
3724.00,0.1216
3723.00,0.1218
3722.00,0.1221
3721.00,0.1223
3720.00,0.1225
3719.00,0.1227
3718.00,0.1228
3717.00,0.1224
3716.00,0.1216
3715.00,0.1207
3714.00,0.1201
3713.00,0.1200
3712.00,0.1203
3711.00,0.1207
3710.00,0.1209
3709.00,0.1214
3708.00,0.1222
3707.00,0.1228
3706.00,0.1230
3705.00,0.1230
3704.00,0.1231
3703.00,0.1234
3702.00,0.1236
3701.00,0.1236
3700.00,0.1235
3699.00,0.1236
3698.00,0.1241
3697.00,0.1243
3696.00,0.1241
3695.00,0.1233
3694.00,0.1223
3693.00,0.1212
3692.00,0.1203
3691.00,0.1200
3690.00,0.1204
3689.00,0.1211
3688.00,0.1214
3687.00,0.1217
3686.00,0.1224
3685.00,0.1235
3684.00,0.1240
3683.00,0.1239
3682.00,0.1234
3681.00,0.1225
3680.00,0.1213
3679.00,0.1196
3678.00,0.1183
3677.00,0.1184
3676.00,0.1193
3675.00,0.1191
3674.00,0.1178
3673.00,0.1174
3672.00,0.1186
3671.00,0.1204
3670.00,0.1217
3669.00,0.1219
